region,subregion,station,abbreviation,elevation,year,month,precip,avg precip,pct of avg
NORTH COAST,SMITH RIVER,Gasquet Ranger Station,GAS,384,2011,Oct,8.4,7.53,112.0
NORTH COAST,SMITH RIVER,Gasquet Ranger Station,GAS,384,2011,Nov,12.42,14.14,88.0
NORTH COAST,SMITH RIVER,Gasquet Ranger Station,GAS,384,2011,Dec,25.0,16.37,153.0
NORTH COAST,SMITH RIVER,Gasquet Ranger Station,GAS,384,2011,Jan,4.91,16.45,30.0
NORTH COAST,SMITH RIVER,Gasquet Ranger Station,GAS,384,2011,Feb,9.53,11.95,80.0
NORTH COAST,SMITH RIVER,Gasquet Ranger Station,GAS,384,2011,Mar,26.47,11.08,239.0
NORTH COAST,SMITH RIVER,Gasquet Ranger Station,GAS,384,2011,Apr,10.25,6.47,158.0
NORTH COAST,SMITH RIVER,Gasquet Ranger Station,GAS,384,2011,May,4.67,4.43,105.0
NORTH COAST,SMITH RIVER,Gasquet Ranger Station,GAS,384,2011,Jun,1.62,0.83,195.0
NORTH COAST,SMITH RIVER,Gasquet Ranger Station,GAS,384,2011,Jul,0.39,0.56,70.0
NORTH COAST,SMITH RIVER,Gasquet Ranger Station,GAS,384,2011,Aug,0.0,0.68,0.0
NORTH COAST,SMITH RIVER,Gasquet Ranger Station,GAS,384,2011,Sep,0.34,1.84,18.0
NORTH COAST,SMITH RIVER,Gasquet Ranger Station,GAS,384,2011,Oct-Sep,104.0,92.33,113.0
NORTH COAST,SMITH RIVER,Gasquet Ranger Station,GAS,384,2011,Wat-Yr,,92.33,113.0
NORTH COAST,KLAMATH RIVER,Callahan,CAL,3185,2011,Oct,4.34,1.4,310.0
NORTH COAST,KLAMATH RIVER,Callahan,CAL,3185,2011,Nov,1.66,2.75,60.0
NORTH COAST,KLAMATH RIVER,Callahan,CAL,3185,2011,Dec,5.65,3.67,154.0
NORTH COAST,KLAMATH RIVER,Callahan,CAL,3185,2011,Jan,0.91,3.68,25.0
NORTH COAST,KLAMATH RIVER,Callahan,CAL,3185,2011,Feb,1.06,2.58,41.0
NORTH COAST,KLAMATH RIVER,Callahan,CAL,3185,2011,Mar,5.42,2.14,253.0
NORTH COAST,KLAMATH RIVER,Callahan,CAL,3185,2011,Apr,0.96,1.38,70.0
NORTH COAST,KLAMATH RIVER,Callahan,CAL,3185,2011,May,1.54,0.83,186.0
NORTH COAST,KLAMATH RIVER,Callahan,CAL,3185,2011,Jun,1.42,0.67,212.0
NORTH COAST,KLAMATH RIVER,Callahan,CAL,3185,2011,Jul,0.42,0.18,233.0
NORTH COAST,KLAMATH RIVER,Callahan,CAL,3185,2011,Aug,0.23,0.29,79.0
NORTH COAST,KLAMATH RIVER,Callahan,CAL,3185,2011,Sep,0.09,0.48,19.0
NORTH COAST,KLAMATH RIVER,Callahan,CAL,3185,2011,Oct-Sep,23.7,20.05,118.0
NORTH COAST,KLAMATH RIVER,Callahan,CAL,3185,2011,Wat-Yr,,20.05,118.0
NORTH COAST,KLAMATH RIVER,Fort Jones RS,FJN,2725,2011,Oct,3.25,1.5,217.0
NORTH COAST,KLAMATH RIVER,Fort Jones RS,FJN,2725,2011,Nov,2.64,2.9,91.0
NORTH COAST,KLAMATH RIVER,Fort Jones RS,FJN,2725,2011,Dec,4.94,4.16,119.0
NORTH COAST,KLAMATH RIVER,Fort Jones RS,FJN,2725,2011,Jan,1.08,4.25,25.0
NORTH COAST,KLAMATH RIVER,Fort Jones RS,FJN,2725,2011,Feb,1.53,2.8,55.0
NORTH COAST,KLAMATH RIVER,Fort Jones RS,FJN,2725,2011,Mar,5.13,2.09,245.0
NORTH COAST,KLAMATH RIVER,Fort Jones RS,FJN,2725,2011,Apr,0.77,1.08,71.0
NORTH COAST,KLAMATH RIVER,Fort Jones RS,FJN,2725,2011,May,1.76,0.95,185.0
NORTH COAST,KLAMATH RIVER,Fort Jones RS,FJN,2725,2011,Jun,1.6,0.77,208.0
NORTH COAST,KLAMATH RIVER,Fort Jones RS,FJN,2725,2011,Jul,0.36,0.36,100.0
NORTH COAST,KLAMATH RIVER,Fort Jones RS,FJN,2725,2011,Aug,0.0,0.42,0.0
NORTH COAST,KLAMATH RIVER,Fort Jones RS,FJN,2725,2011,Sep,0.13,0.57,23.0
NORTH COAST,KLAMATH RIVER,Fort Jones RS,FJN,2725,2011,Oct-Sep,23.19,21.85,106.0
NORTH COAST,KLAMATH RIVER,Fort Jones RS,FJN,2725,2011,Wat-Yr,,21.85,106.0
NORTH COAST,KLAMATH RIVER,Yreka,YRK,2625,2011,Oct,3.39,1.41,240.0
NORTH COAST,KLAMATH RIVER,Yreka,YRK,2625,2011,Nov,2.32,2.19,106.0
NORTH COAST,KLAMATH RIVER,Yreka,YRK,2625,2011,Dec,4.19,3.5,120.0
NORTH COAST,KLAMATH RIVER,Yreka,YRK,2625,2011,Jan,1.05,3.24,32.0
NORTH COAST,KLAMATH RIVER,Yreka,YRK,2625,2011,Feb,1.19,2.18,55.0
NORTH COAST,KLAMATH RIVER,Yreka,YRK,2625,2011,Mar,5.41,1.7,318.0
NORTH COAST,KLAMATH RIVER,Yreka,YRK,2625,2011,Apr,0.89,0.95,94.0
NORTH COAST,KLAMATH RIVER,Yreka,YRK,2625,2011,May,1.5,0.91,165.0
NORTH COAST,KLAMATH RIVER,Yreka,YRK,2625,2011,Jun,1.33,0.84,158.0
NORTH COAST,KLAMATH RIVER,Yreka,YRK,2625,2011,Jul,1.09,0.3,363.0
NORTH COAST,KLAMATH RIVER,Yreka,YRK,2625,2011,Aug,0.06,0.51,12.0
NORTH COAST,KLAMATH RIVER,Yreka,YRK,2625,2011,Sep,0.05,0.55,9.0
NORTH COAST,KLAMATH RIVER,Yreka,YRK,2625,2011,Oct-Sep,22.47,18.28,123.0
NORTH COAST,KLAMATH RIVER,Yreka,YRK,2625,2011,Wat-Yr,,18.28,123.0
NORTH COAST,KLAMATH RIVER,Happy Camp RS,HAP,1120,2011,Oct,4.35,3.91,111.0
NORTH COAST,KLAMATH RIVER,Happy Camp RS,HAP,1120,2011,Nov,6.33,7.79,81.0
NORTH COAST,KLAMATH RIVER,Happy Camp RS,HAP,1120,2011,Dec,14.47,10.35,140.0
NORTH COAST,KLAMATH RIVER,Happy Camp RS,HAP,1120,2011,Jan,2.73,11.05,25.0
NORTH COAST,KLAMATH RIVER,Happy Camp RS,HAP,1120,2011,Feb,4.95,7.66,65.0
NORTH COAST,KLAMATH RIVER,Happy Camp RS,HAP,1120,2011,Mar,13.1,6.48,202.0
NORTH COAST,KLAMATH RIVER,Happy Camp RS,HAP,1120,2011,Apr,3.01,2.75,109.0
NORTH COAST,KLAMATH RIVER,Happy Camp RS,HAP,1120,2011,May,1.89,1.75,108.0
NORTH COAST,KLAMATH RIVER,Happy Camp RS,HAP,1120,2011,Jun,1.0,0.78,128.0
NORTH COAST,KLAMATH RIVER,Happy Camp RS,HAP,1120,2011,Jul,0.22,0.32,69.0
NORTH COAST,KLAMATH RIVER,Happy Camp RS,HAP,1120,2011,Aug,0.0,0.37,0.0
NORTH COAST,KLAMATH RIVER,Happy Camp RS,HAP,1120,2011,Sep,0.28,0.88,32.0
NORTH COAST,KLAMATH RIVER,Happy Camp RS,HAP,1120,2011,Oct-Sep,52.33,54.09,97.0
NORTH COAST,KLAMATH RIVER,Happy Camp RS,HAP,1120,2011,Wat-Yr,,54.09,97.0
NORTH COAST,KLAMATH RIVER,Klamath River At Orleans,OLS,430,2011,Oct,9.03,3.77,240.0
NORTH COAST,KLAMATH RIVER,Klamath River At Orleans,OLS,430,2011,Nov,6.01,8.06,75.0
NORTH COAST,KLAMATH RIVER,Klamath River At Orleans,OLS,430,2011,Dec,14.04,10.17,138.0
NORTH COAST,KLAMATH RIVER,Klamath River At Orleans,OLS,430,2011,Jan,3.12,10.7,29.0
NORTH COAST,KLAMATH RIVER,Klamath River At Orleans,OLS,430,2011,Feb,4.48,7.33,61.0
NORTH COAST,KLAMATH RIVER,Klamath River At Orleans,OLS,430,2011,Mar,13.05,6.59,198.0
NORTH COAST,KLAMATH RIVER,Klamath River At Orleans,OLS,430,2011,Apr,4.87,3.05,160.0
NORTH COAST,KLAMATH RIVER,Klamath River At Orleans,OLS,430,2011,May,2.36,1.86,127.0
NORTH COAST,KLAMATH RIVER,Klamath River At Orleans,OLS,430,2011,Jun,1.78,0.58,307.0
NORTH COAST,KLAMATH RIVER,Klamath River At Orleans,OLS,430,2011,Jul,0.12,0.14,86.0
NORTH COAST,KLAMATH RIVER,Klamath River At Orleans,OLS,430,2011,Aug,0.0,0.49,0.0
NORTH COAST,KLAMATH RIVER,Klamath River At Orleans,OLS,430,2011,Sep,0.2,1.1,18.0
NORTH COAST,KLAMATH RIVER,Klamath River At Orleans,OLS,430,2011,Oct-Sep,59.06,53.84,110.0
NORTH COAST,KLAMATH RIVER,Klamath River At Orleans,OLS,430,2011,Wat-Yr,,53.84,110.0
NORTH COAST,TRINITY RIVER,Weaverville RS,WVR,2050,2011,Oct,9.15,2.55,359.0
NORTH COAST,TRINITY RIVER,Weaverville RS,WVR,2050,2011,Nov,4.51,5.06,89.0
NORTH COAST,TRINITY RIVER,Weaverville RS,WVR,2050,2011,Dec,9.44,6.85,138.0
NORTH COAST,TRINITY RIVER,Weaverville RS,WVR,2050,2011,Jan,2.5,7.38,34.0
NORTH COAST,TRINITY RIVER,Weaverville RS,WVR,2050,2011,Feb,3.01,5.3,57.0
NORTH COAST,TRINITY RIVER,Weaverville RS,WVR,2050,2011,Mar,10.74,4.09,263.0
NORTH COAST,TRINITY RIVER,Weaverville RS,WVR,2050,2011,Apr,2.25,2.31,97.0
NORTH COAST,TRINITY RIVER,Weaverville RS,WVR,2050,2011,May,3.15,1.32,239.0
NORTH COAST,TRINITY RIVER,Weaverville RS,WVR,2050,2011,Jun,2.2,0.75,293.0
NORTH COAST,TRINITY RIVER,Weaverville RS,WVR,2050,2011,Jul,0.28,0.18,156.0
NORTH COAST,TRINITY RIVER,Weaverville RS,WVR,2050,2011,Aug,0.0,0.34,0.0
NORTH COAST,TRINITY RIVER,Weaverville RS,WVR,2050,2011,Sep,0.09,0.72,12.0
NORTH COAST,TRINITY RIVER,Weaverville RS,WVR,2050,2011,Oct-Sep,47.32,36.85,128.0
NORTH COAST,TRINITY RIVER,Weaverville RS,WVR,2050,2011,Wat-Yr,,36.85,128.0
NORTH COAST,TRINITY RIVER,Big Bar,BGB,1270,2011,Oct,6.91,2.35,294.0
NORTH COAST,TRINITY RIVER,Big Bar,BGB,1270,2011,Nov,4.41,5.37,82.0
NORTH COAST,TRINITY RIVER,Big Bar,BGB,1270,2011,Dec,10.15,6.87,148.0
NORTH COAST,TRINITY RIVER,Big Bar,BGB,1270,2011,Jan,1.3,7.42,18.0
NORTH COAST,TRINITY RIVER,Big Bar,BGB,1270,2011,Feb,3.08,5.42,57.0
NORTH COAST,TRINITY RIVER,Big Bar,BGB,1270,2011,Mar,9.51,4.36,218.0
NORTH COAST,TRINITY RIVER,Big Bar,BGB,1270,2011,Apr,2.73,2.4,114.0
NORTH COAST,TRINITY RIVER,Big Bar,BGB,1270,2011,May,1.79,1.13,158.0
NORTH COAST,TRINITY RIVER,Big Bar,BGB,1270,2011,Jun,2.65,0.64,414.0
NORTH COAST,TRINITY RIVER,Big Bar,BGB,1270,2011,Jul,0.12,0.11,109.0
NORTH COAST,TRINITY RIVER,Big Bar,BGB,1270,2011,Aug,0.0,0.29,0.0
NORTH COAST,TRINITY RIVER,Big Bar,BGB,1270,2011,Sep,0.11,0.63,17.0
NORTH COAST,TRINITY RIVER,Big Bar,BGB,1270,2011,Oct-Sep,42.76,36.99,116.0
NORTH COAST,TRINITY RIVER,Big Bar,BGB,1270,2011,Wat-Yr,,36.99,116.0
NORTH COAST,TRINITY RIVER,Hoopa,HOO,333,2011,Oct,,4.24,
NORTH COAST,TRINITY RIVER,Hoopa,HOO,333,2011,Nov,8.8,8.58,103.0
NORTH COAST,TRINITY RIVER,Hoopa,HOO,333,2011,Dec,9.0,11.12,81.0
NORTH COAST,TRINITY RIVER,Hoopa,HOO,333,2011,Jan,2.8,10.37,27.0
NORTH COAST,TRINITY RIVER,Hoopa,HOO,333,2011,Feb,5.3,7.99,66.0
NORTH COAST,TRINITY RIVER,Hoopa,HOO,333,2011,Mar,16.6,7.06,235.0
NORTH COAST,TRINITY RIVER,Hoopa,HOO,333,2011,Apr,4.4,3.44,128.0
NORTH COAST,TRINITY RIVER,Hoopa,HOO,333,2011,May,2.5,1.86,134.0
NORTH COAST,TRINITY RIVER,Hoopa,HOO,333,2011,Jun,1.4,0.71,197.0
NORTH COAST,TRINITY RIVER,Hoopa,HOO,333,2011,Jul,,0.16,
NORTH COAST,TRINITY RIVER,Hoopa,HOO,333,2011,Aug,0.0,0.29,0.0
NORTH COAST,TRINITY RIVER,Hoopa,HOO,333,2011,Sep,0.1,1.04,10.0
NORTH COAST,TRINITY RIVER,Hoopa,HOO,333,2011,Oct-Sep,,56.86,
NORTH COAST,TRINITY RIVER,Hoopa,HOO,333,2011,Wat-Yr,,56.86,
NORTH COAST,EEL RIVER,Covelo 1 Nne,COV,1514,2011,Oct,8.45,2.59,326.0
NORTH COAST,EEL RIVER,Covelo 1 Nne,COV,1514,2011,Nov,4.36,5.45,80.0
NORTH COAST,EEL RIVER,Covelo 1 Nne,COV,1514,2011,Dec,10.52,7.5,140.0
NORTH COAST,EEL RIVER,Covelo 1 Nne,COV,1514,2011,Jan,2.2,8.13,27.0
NORTH COAST,EEL RIVER,Covelo 1 Nne,COV,1514,2011,Feb,3.9,6.32,62.0
NORTH COAST,EEL RIVER,Covelo 1 Nne,COV,1514,2011,Mar,12.12,5.45,222.0
NORTH COAST,EEL RIVER,Covelo 1 Nne,COV,1514,2011,Apr,,2.26,
NORTH COAST,EEL RIVER,Covelo 1 Nne,COV,1514,2011,May,3.36,1.01,333.0
NORTH COAST,EEL RIVER,Covelo 1 Nne,COV,1514,2011,Jun,1.19,0.49,243.0
NORTH COAST,EEL RIVER,Covelo 1 Nne,COV,1514,2011,Jul,0.02,0.1,20.0
NORTH COAST,EEL RIVER,Covelo 1 Nne,COV,1514,2011,Aug,0.0,0.23,0.0
NORTH COAST,EEL RIVER,Covelo 1 Nne,COV,1514,2011,Sep,0.1,0.56,18.0
NORTH COAST,EEL RIVER,Covelo 1 Nne,COV,1514,2011,Oct-Sep,,40.09,
NORTH COAST,EEL RIVER,Covelo 1 Nne,COV,1514,2011,Wat-Yr,,40.09,
NORTH COAST,EEL RIVER,Standish Hickey Park,SNH,850,2011,Oct,10.49,5.19,202.0
NORTH COAST,EEL RIVER,Standish Hickey Park,SNH,850,2011,Nov,6.03,9.69,62.0
NORTH COAST,EEL RIVER,Standish Hickey Park,SNH,850,2011,Dec,18.2,14.34,127.0
NORTH COAST,EEL RIVER,Standish Hickey Park,SNH,850,2011,Jan,,14.48,
NORTH COAST,EEL RIVER,Standish Hickey Park,SNH,850,2011,Feb,,10.31,
NORTH COAST,EEL RIVER,Standish Hickey Park,SNH,850,2011,Mar,,9.08,
NORTH COAST,EEL RIVER,Standish Hickey Park,SNH,850,2011,Apr,,4.48,
NORTH COAST,EEL RIVER,Standish Hickey Park,SNH,850,2011,May,,2.48,
NORTH COAST,EEL RIVER,Standish Hickey Park,SNH,850,2011,Jun,,0.8,
NORTH COAST,EEL RIVER,Standish Hickey Park,SNH,850,2011,Jul,,0.09,
NORTH COAST,EEL RIVER,Standish Hickey Park,SNH,850,2011,Aug,,0.27,
NORTH COAST,EEL RIVER,Standish Hickey Park,SNH,850,2011,Sep,,0.75,
NORTH COAST,EEL RIVER,Standish Hickey Park,SNH,850,2011,Oct-Sep,,71.96,
NORTH COAST,EEL RIVER,Standish Hickey Park,SNH,850,2011,Wat-Yr,,71.96,
NORTH COAST,EEL RIVER,Scotia,SCA,139,2011,Oct,4.16,3.31,126.0
NORTH COAST,EEL RIVER,Scotia,SCA,139,2011,Nov,4.94,6.04,82.0
NORTH COAST,EEL RIVER,Scotia,SCA,139,2011,Dec,14.02,8.68,162.0
NORTH COAST,EEL RIVER,Scotia,SCA,139,2011,Jan,1.73,9.08,19.0
NORTH COAST,EEL RIVER,Scotia,SCA,139,2011,Feb,5.7,7.45,77.0
NORTH COAST,EEL RIVER,Scotia,SCA,139,2011,Mar,15.08,6.35,237.0
NORTH COAST,EEL RIVER,Scotia,SCA,139,2011,Apr,3.89,3.31,118.0
NORTH COAST,EEL RIVER,Scotia,SCA,139,2011,May,2.34,1.65,142.0
NORTH COAST,EEL RIVER,Scotia,SCA,139,2011,Jun,1.11,0.57,195.0
NORTH COAST,EEL RIVER,Scotia,SCA,139,2011,Jul,0.24,0.05,480.0
NORTH COAST,EEL RIVER,Scotia,SCA,139,2011,Aug,0.01,0.22,5.0
NORTH COAST,EEL RIVER,Scotia,SCA,139,2011,Sep,0.19,0.62,31.0
NORTH COAST,EEL RIVER,Scotia,SCA,139,2011,Oct-Sep,53.41,47.33,113.0
NORTH COAST,EEL RIVER,Scotia,SCA,139,2011,Wat-Yr,,47.33,113.0
NORTH COAST,EEL RIVER,Eureka Woodley Island,ERK,20,2011,Oct,4.26,2.99,142.0
NORTH COAST,EEL RIVER,Eureka Woodley Island,ERK,20,2011,Nov,4.69,5.54,85.0
NORTH COAST,EEL RIVER,Eureka Woodley Island,ERK,20,2011,Dec,10.08,6.41,157.0
NORTH COAST,EEL RIVER,Eureka Woodley Island,ERK,20,2011,Jan,2.23,6.5,34.0
NORTH COAST,EEL RIVER,Eureka Woodley Island,ERK,20,2011,Feb,3.62,5.17,70.0
NORTH COAST,EEL RIVER,Eureka Woodley Island,ERK,20,2011,Mar,11.88,5.21,228.0
NORTH COAST,EEL RIVER,Eureka Woodley Island,ERK,20,2011,Apr,4.07,2.87,142.0
NORTH COAST,EEL RIVER,Eureka Woodley Island,ERK,20,2011,May,1.43,1.81,79.0
